단어,긍정도,부정도
조금,0.743066549,1
더,1,0.84785825
덜,0.749047518,0.718607664
보다,0.824843049,0.697935343
약간,0.626828611,0.78694284
너무,1,0.687110722
훨씬,0.839599192,0.682006896
확실히,0.626408815,0.633931994
다소,0.645027459,0.708397985
아무래도,0.615668356,0.691422999
상당히,0.67943418,0.622465909
살짝,0.556807816,0.693433106
아주,0.741847038,0.600496233
그나마,0.553910434,0.628074169
한층,0.737364173,0.59724468
더욱더,0.735694051,0.5900352
엄청,0.776431143,0.588528156
좀더,0.565566123,0.576916933
더욱,0.759050846,0.576676071
굉장히,0.750307679,0.568524003
많이,1,0.568217754
쪼금,0.533972323,0.645351946
차라리,0.519551814,0.563282788
쬐금,0.605312645,0.584017217
참,1,0.55934
일단,0.488784313,0.623954117
이렇게,0.99999994,0.646041512
그만큼,0.687575638,0.55489248
왠지,0.571878016,0.545620322
휠씬,0.565283835,0.528220534
무척,0.793293118,0.543715179
매우,0.664710879,0.515691817
솔직히,0.602390289,0.810988724
이왕이면,0.573670268,0.506770849
찍,0.494089693,0.523638308
빨리,0.560871363,0.503167987
꽤,0.619702578,0.539943755
제법,0.523739934,0.541553915
만,0.468393087,0.499828577
다시금,0.526060998,0.757010281
한번,0.757943153,0.683399379
또,1,0.680391371
계속,0.629535675,0.592291534
이제서야,0.420117706,0.549261749
언젠가,0.480807811,0.548771799
잠시,0.433524489,0.53304249
먼저,0.662568152,0.528270602
이제야,0.473568499,0.527727604
바로,1,0.505860567
제대로,0.677794755,0.504215717
슬그머니,0.42805019,0.503561795
새로,0.425331354,0.503434837
조만간,0.481488317,0.502581596
새로이,0.398198187,0.501685858
기필코,0.458260059,0.497129321
떠듬떠듬,0.447718173,0.496114284
문득,0.407548219,0.490996271
드디어,0.395821631,0.488544852
서서히,0.361343503,0.487517804
마침내,0.374943316,0.484990537
부랴부랴,0.387337029,0.484343529
얼른,0.500116944,0.481566489
우연히,0.448985636,0.477955133
도대체,0.636134982,0.828197002
대체,0.636007965,0.74366492
과연,0.679441631,0.731857896
어떻게,1,0.65520066
얼마나,0.643873751,1
이리,0.627734959,0.646339357
그렇게,0.646041512,1
그리도,0.542406797,0.620561898
도데체,0.461743891,0.575274706
그토록,0.449390531,0.594385147
정작,0.486178964,0.570340633
하필,0.401713967,0.56508255
저렇게,0.69681555,0.559415579
어찌,0.580467701,0.640837133
지금,0.555228472,1
이리도,0.510636628,0.529735386
현재,0.457194209,0.680443883
당장,0.587216616,0.665645361
이제,0.447829783,0.649961829
아직,0.47615999,1
여전히,0.472496837,0.676770091
이미,0.458574593,0.99999994
어쩌면,0.456992567,0.624118388
아마,0.453491151,0.608998001
아마도,0.480485827,0.630588353
적어도,0.407862544,0.586659253
사실,0.569811583,1
왜,0.65520066,1
만약,0.428178549,0.536879063
오늘,0.475091457,0.529940009
요즘,0.561119795,0.575491011
실제로,0.553641677,0.591270447
머지않아,0.339034498,0.511104822
한참,0.47183755,0.566765904
결국,0.580876172,0.571324527
안달복달,0.467526495,0.507463157
좀,0.84785825,1
이나마,0.448776215,0.561508358
점점,0.613111496,0.545179725
천천히,0.393457323,0.540848732
점차,0.53146559,0.535522878
가끔,0.545696974,0.539005458
차츰,0.453886926,0.507440031
