´Ü¾î,±àÁ¤µµ,ºÎÁ¤µµ
ÀÖ,0.660960317,1
°°,1,0.660960317
¾ø,0.538521469,1
¸¹,0.99999994,0.675436676
Àû,0.65997386,0.99999994
ÁÁ,1,0.754253805
±×·¸,0.556243002,1
ÀÌ·¸,0.342276126,0.696703672
³ª»Ú,0.624553204,0.702555656
´Ù¸£,0.454324394,1
¾î·Æ,1,0.560616553
»ó°ü¾ø,0.399658829,0.578255117
¿Ç,0.356826425,0.529297292
¹Ì´þ,0.425734103,0.528993726
º°´Ù¸£,0.455126315,0.527997971
°³Åº½º·´,0.397234678,0.52122122
Æ¯º°³ª,0.511392891,0.519985855
Àç¹Ì¾ø,0.632216871,0.653719962
Àç¹Õ,1,0.949626565
Àç¹Ì³ª,0.747176528,0.753809154
Áñ°Ì,1,0.716532886
½±,1,0.643296897
ÆíÇÏ,1,0.593621373
°¡º±,0.670128167,0.558610022
¹Ý°©,0.581036508,0.557181895
³¸¶ß°Ì,0.594223857,0.587139726
¾ËÂ÷,0.581202388,0.527568936
ÀÛ,1,0.609995008
¾öÃ»³ª,0.604966223,0.552435338
¹«°Ì,0.563004553,0.510561824
Áö³ªÄ¡,0.374286115,0.457565904
³Ð,0.481877714,0.609299481
¶È°°,0.430245906,0.675882816
Æ²¸®,0.443246514,0.642184556
°ü°è¾ø,0.384847462,0.505411088
³·,0.887153327,0.599754333
³ô,1,0.581275344
±æ,0.499763876,0.774889946
Å©,0.609995008,0.99999994
Âª,0.43226409,1
´úÇÏ,0.439925283,0.515862823
¾è,0.410658211,0.545603395
°¨¸í±í,0.4476749,0.532873452
³Ï,0.379424632,0.518705308
¶æ±í,0.503645837,0.489755213
ÀÎ»ó±í,0.344283253,0.476846188
Æø³Ð,0.535920382,0.466519475
µ¡¾ø,0.24101609,0.447166204
¸¼,0.348608315,0.446880937
³´,0.498485744,0.574635625
ÈÄÁö,0.470302194,0.527631521
¾ã,0.517566264,0.501848638
¾Æ±õ,0.386772513,0.493492931
ÀÕ,0.436702073,0.493223935
Èûµé,1,0.714217603
±ÍÂú,0.680640876,0.695023656
´õ·¯¿ì,0.481106818,0.572234511
¾¦½º·´,0.53343606,0.534624517
¼Ó»óÇÏ,0.580570042,0.529073179
°íµÇ,0.636383891,0.528539419
¼º°¡½Ã,0.435447991,0.51434654
Áö±ßÁö±ßÇÏ,0.430909961,0.50944072
¹«¼·,0.510504603,0.508963466
ºÎ²ô·¯¿ì,0.512902021,0.506511092
½¢ÇÏ,0.371778905,0.540569425
²÷ÀÓ¾ø,0.320903122,0.53893894
±½,0.475252897,0.507380068
Àç¹ÌÀÖ,0.949626565,1
´ÜÃÍÇÏ,0.588238657,0.506911218
Àú·¸,0.530062556,0.568528891
Àú¶»,0.434998989,0.564277172
¾î¶»ÇÏ,0.378506422,0.544701397
¾î‰F,0.393681824,0.516028702
¾ÈÅ¸±õ,0.48181659,0.656620264
¿¾½º·´,0.570854485,0.539834678
µÎ¼­¾ø,0.491417676,0.53268379
ÀÌ¸£,0.449391782,0.523713291
¾Æ½¬¿ì,0.398811072,0.496260852
½½ÇÁ,0.509518564,0.489546388
ÆíÂú,0.448684514,0.555161178
±¦Âú,0.754253805,1
¾Ë¸Â,0.543052375,0.433285981
Á¶,0.568543613,0.378575861
ÀÌ»Ú,0.917195439,0.474369884
ÀÚ¸®,0.532389283,0.363595188
¼ö¸¹,0.675436676,1
ÀûÀÝ,0.54222548,0.455177635
µå¹°,0.532547474,0.451069742
Àæ,0.499158651,0.390897393
¼Õ½±,0.767890871,0.433085173
ºü¸£,1,0.430517524
½¬¿ì,0.546164632,0.485325038
ÈçÇÏ,0.534298003,0.390346617
¾î·Á¿ì,0.683619738,0.40664044
¹ö°Ì,0.704536855,0.471745491
³¸¼³,0.651771724,0.432498276
±î´Ù·Ó,0.615657508,0.407787442
¾î·´,0.606322289,0.395621806
µÎ·Æ,0.597516835,0.421663046
¹ø°Å·Ó,0.576562166,0.461210966
¹÷Â÷,0.5582636,0.32110399
½È,0.714217603,1
±î´Ù·Î¿ì,0.534402251,0.453167468
¸¸¸¸Âú,0.532617331,0.418315232
¸À³ª,0.861683905,0.456633508
¸À¾ø,0.611235619,0.490121841
¿¹»Ú,0.99999994,0.437645346
»ö´Ù¸£,0.583762586,0.507967412
µÕ±×·¸,0.598882854,0.36373958
